route_id,agency_id,route_short_name,route_long_name,route_type
AR_ACC7_CJU-CJJ_D,A1,제주-청주,-,7
AR_ACC7_CJU-CJJ_U,A1,청주-제주,-,7
AR_ACC7_CJU-HIN_U,A1,사천-제주,-,7
AR_ACC7_CJU-KPO_D,A1,제주-포항.경주,-,7
AR_ACC7_CJU-KPO_U,A1,포항.경주-제주,-,7
AR_ACC7_CJU-KUV_D,A1,제주-군산,-,7
AR_ACC7_CJU-KUV_U,A1,군산-제주,-,7
AR_ACC7_CJU-KWJ_D,A1,제주-광주,-,7
AR_ACC7_CJU-KWJ_U,A1,광주-제주,-,7
AR_ACC7_CJU-RSU_D,A1,제주-여수,-,7
AR_ACC7_CJU-RSU_U,A1,여수-제주,-,7
AR_ACC7_CJU-TAE_D,A1,제주-대구,-,7
AR_ACC7_CJU-TAE_U,A1,대구-제주,-,7
AR_ACC7_CJU-USN_D,A1,제주-울산,-,7
AR_ACC7_CJU-USN_U,A1,울산-제주,-,7
AR_ACC7_CJU-WJU_D,A1,제주-원주,-,7
AR_ACC7_CJU-WJU_U,A1,원주-제주,-,7
AR_ACC7_CJU-YNY_D,A1,제주-양양,-,7
AR_ACC7_CJU-YNY_U,A1,양양-제주,-,7
AR_ACC7_GMP-CJU_D,A1,김포-제주,-,7
AR_ACC7_GMP-CJU_U,A1,제주-김포,-,7
AR_ACC7_GMP-HIN_D,A1,김포-사천,-,7
AR_ACC7_GMP-HIN_U,A1,사천-김포,-,7
AR_ACC7_GMP-KPO_D,A1,김포-포항.경주,-,7
AR_ACC7_GMP-KPO_U,A1,포항.경주-김포,-,7
AR_ACC7_GMP-KWJ_D,A1,김포-광주,-,7
AR_ACC7_GMP-KWJ_U,A1,광주-김포,-,7
AR_ACC7_GMP-PUS_D,A1,김포-김해,-,7
AR_ACC7_GMP-PUS_U,A1,김해-김포,-,7
AR_ACC7_GMP-RSU_D,A1,김포-여수,-,7
AR_ACC7_GMP-RSU_U,A1,여수-김포,-,7
AR_ACC7_GMP-USN_D,A1,김포-울산,-,7
AR_ACC7_GMP-USN_U,A1,울산-김포,-,7
AR_ACC7_PUS-CJU_D,A1,김해-제주,-,7
AR_ACC7_PUS-CJU_U,A1,제주-김해,-,7
AR_ACC7_YNY-RSU_D,A1,양양-여수,-,7
AR_ACC7_YNY-RSU_U,A1,여수-양양,-,7
BR_1100_100000020,A1,청와대A01(자율주행),-,0
BR_1100_100100001,A1,01,-,0
BR_1100_100100006,A1,101,-,0
BR_1100_100100007,A1,102,-,0
BR_1100_100100008,A1,103,-,0
BR_1100_100100009,A1,104,-,0
BR_1100_100100010,A1,105,-,0
BR_1100_100100011,A1,106,-,0
BR_1100_100100012,A1,107,-,0
BR_1100_100100014,A1,109,-,0
BR_1100_100100015,A1,110B국민대,-,0
BR_1100_100100016,A1,110A고려대,-,0
BR_1100_100100017,A1,120,-,0
BR_1100_100100018,A1,130,-,0
BR_1100_100100019,A1,140,-,0
BR_1100_100100020,A1,141,-,0
BR_1100_100100021,A1,142,-,0
BR_1100_100100022,A1,143,-,0
BR_1100_100100023,A1,144,-,0
BR_1100_100100024,A1,145,-,0
BR_1100_100100025,A1,146,-,0
BR_1100_100100026,A1,147,-,0
BR_1100_100100027,A1,148,-,0
BR_1100_100100029,A1,150,-,0
BR_1100_100100030,A1,151,-,0
BR_1100_100100031,A1,152,-,0
BR_1100_100100032,A1,163,-,0
